,Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
37,2025-02-17,6428.58,6189.04,239.54,181.32,1087.13,272.40,726.72,0.00,0.00,537.16,481.56,727.14,739.41,1175.07,261.13,Fevereiro,2025.00
38,2025-02-18,7053.99,6829.50,224.49,229.54,694.75,0.00,902.41,0.00,29.17,1042.03,1013.84,509.43,988.19,1161.93,258.21,Fevereiro,2025.00
39,2025-02-19,6454.66,6373.39,81.27,225.66,484.57,243.82,631.21,0.00,0.00,704.22,940.80,854.01,979.78,1071.26,238.06,Fevereiro,2025.00
40,2025-02-20,6632.18,6632.18,0.00,669.67,712.03,300.66,743.41,0.00,4.52,743.62,717.83,625.91,904.27,990.21,220.05,Fevereiro,2025.00
41,2025-02-21,6714.36,6590.26,124.10,235.01,721.67,0.00,927.66,0.00,3.82,897.75,846.45,465.16,1196.98,1060.17,235.59,Fevereiro,2025.00
42,2025-02-24,5987.08,5852.33,134.75,191.79,570.65,324.75,721.80,0.00,25.41,879.65,570.31,552.33,648.60,1118.49,248.55,Fevereiro,2025.00
43,2025-02-25,6486.97,6486.97,0.00,367.08,394.03,0.00,1458.70,0.00,5.10,793.70,388.09,629.37,840.94,1316.74,293.22,Fevereiro,2025.00
44,2025-02-26,6403.61,6349.43,54.18,355.50,0.00,15.03,1390.91,16.11,3.86,937.73,703.15,637.63,868.15,1162.93,258.43,Fevereiro,2025.00
45,2025-02-27,6199.69,5996.64,203.05,1.55,299.09,100.00,981.46,0.00,1.91,789.70,635.83,649.05,975.85,1278.16,284.04,Fevereiro,2025.00
46,2025-02-28,6650.36,5746.85,903.51,23.69,587.84,322.54,765.90,0.00,3.96,837.19,607.71,527.60,797.13,1041.78,231.51,Fevereiro,2025.00
47,2025-03-01,335.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.23,126.14,167.63,0.00,0.00,0.00,Março,2025.00
48,2025-03-03,7046.18,6371.83,674.35,61.82,542.07,292.93,799.88,0.00,0.00,580.68,766.21,320.77,977.48,1660.65,369.34,Março,2025.00
49,2025-03-04,6377.79,6048.12,329.67,202.21,624.20,175.53,807.05,0.00,0.00,792.70,719.02,570.78,420.05,1420.84,315.74,Março,2025.00
50,2025-03-05,6463.67,5876.34,587.33,1.35,578.14,368.73,431.03,0.00,0.00,631.09,960.84,803.79,805.14,1060.55,235.68,Março,2025.00
51,2025-03-06,6126.40,5568.63,557.77,42.37,849.03,6.32,642.90,0.00,13.27,576.26,930.33,617.82,646.79,1017.44,226.10,Março,2025.00
52,2025-03-07,5661.55,5533.30,128.25,614.40,512.19,102.45,398.27,0.00,1.71,575.03,766.52,517.94,554.44,1219.08,271.27,Março,2025.00
53,2025-03-10,5687.89,5687.89,0.00,356.20,381.88,0.00,585.05,32.22,7.12,625.50,834.29,587.10,913.09,1117.18,248.26,Março,2025.00
54,2025-03-11,4280.59,4081.33,199.26,0.00,0.00,0.00,722.27,0.00,0.00,538.90,729.70,774.50,462.43,698.34,155.19,Março,2025.00
