Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
2024-02-21,4912.99,4698.83,214.16,126.52,624.88,416.17,798.06,27.95,0.0,492.72,397.68,373.7,496.96,772.35,171.84,Fevereiro,2024
2024-02-22,6361.41,6184.18,177.23,179.41,1077.72,190.37,978.47,0.0,0.0,432.19,800.6,531.08,941.75,861.21,191.38,Fevereiro,2024
2024-02-23,5917.31,5546.23,371.08,218.12,515.41,70.69,1118.33,0.0,0.0,563.02,712.56,636.26,724.8,807.19,179.85,Fevereiro,2024
2024-02-26,6259.75,6039.65,220.1,177.16,1077.44,123.89,873.92,0.0,5.3,671.33,673.23,443.19,690.9,1066.24,237.05,Fevereiro,2024
2024-02-27,5051.98,4968.53,83.45,225.98,335.19,254.94,957.61,0.0,0.0,315.91,594.21,467.37,767.32,859.09,190.91,Fevereiro,2024
2024-02-28,5387.16,5275.63,111.53,142.59,914.33,197.09,944.07,0.0,0.0,504.11,481.45,408.85,704.11,800.6,178.43,Fevereiro,2024
2024-02-29,6779.38,6481.35,298.03,71.36,1366.1,353.04,1203.31,0.0,0.0,488.93,671.95,433.57,676.3,995.51,221.28,Fevereiro,2024
2024-03-01,5224.11,4928.0,296.11,200.38,703.86,133.99,1082.55,0.0,0.0,562.16,665.96,448.68,664.33,380.88,85.21,Março,2024
2024-03-04,4150.53,4070.2,80.33,124.21,216.57,338.93,811.07,0.0,11.89,523.62,466.14,478.83,667.8,352.75,78.39,Março,2024
2024-03-05,4988.81,4797.67,191.14,167.02,637.18,165.02,976.09,0.0,27.6,410.77,468.15,413.62,633.7,735.15,163.37,Março,2024
2024-03-06,5501.18,5286.42,214.76,198.62,638.26,195.37,858.62,88.28,16.42,621.51,627.81,499.39,813.34,596.03,132.77,Março,2024
2024-03-07,5102.84,4649.7,453.14,245.17,472.17,172.49,813.95,44.14,94.4,636.99,578.44,412.27,397.8,638.99,142.89,Março,2024
2024-03-08,5774.820000000001,5473.35,301.47,0.0,699.87,315.76,780.7,0.0,0.0,710.73,644.7,346.17,745.69,1005.63,224.1,Março,2024
2024-03-11,5424.54,5305.29,119.25,238.46,694.27,111.64,1165.58,0.0,8.18,525.75,592.9,415.72,449.11,902.88,200.8,Março,2024
2024-03-12,6094.77,5740.82,353.95,168.08,539.18,242.58,1210.19,0.0,1.65,565.78,585.05,418.46,924.89,887.69,197.27,Março,2024
2024-03-13,5623.62,5311.71,311.91,155.21,806.49,191.0,951.34,0.0,0.0,567.34,510.12,619.94,760.64,613.33,136.3,Março,2024
2024-03-14,6438.969999999999,5753.32,685.65,60.42,555.4,121.05,1033.29,0.0,4.24,501.4,499.05,473.84,1084.11,1161.82,258.7,Março,2024
2024-03-15,4829.099999999999,4627.24,201.86,391.82,665.24,172.09,1058.48,0.0,13.3,383.88,475.07,441.63,204.89,671.6,149.24,Março,2024
2024-03-18,5211.459999999999,4928.98,282.48,208.14,348.96,200.03,759.28,29.43,36.43,462.36,630.11,462.99,685.81,865.57,239.87,Março,2024
2024-03-19,5067.7,5020.62,47.08,361.36,476.54,131.53,811.31,32.37,7.42,537.01,499.75,407.98,873.66,721.38,160.31,Março,2024
2024-03-20,6074.06,5928.65,145.41,456.36,427.2,0.0,1022.17,26.48,46.43,593.68,525.11,591.01,987.06,1025.05,228.1,Março,2024
2024-03-21,6082.57,5833.4,249.17,337.3,360.3,186.73,770.91,0.0,19.42,491.4,493.8,539.97,905.5,1413.58,314.49,Março,2024
2024-03-22,6004.35,5619.0,385.35,219.42,177.09,71.58,683.54,0.0,0.0,697.73,793.6,665.06,1052.53,1029.64,228.81,Março,2024
2024-03-23,1687.16,1222.48,464.68,0.0,0.0,0.0,0.0,0.0,0.0,273.78,238.13,152.41,76.53,394.06,87.57,Março,2024
2024-03-25,6328.599999999999,5916.65,411.95,232.22,397.44,119.2,695.52,2.94,35.66,596.56,977.9,680.29,912.7,1036.0,230.22,Março,2024
